height,length,width,driveline,engine,gears,transmission,cty,fuel_type,hwy,id,make,model_year,year,hp,torque,model,km_per_l_cty,km_per_l_hwy
181,140,206,Four-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab WT 4WD AT,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,5.991189427312776,8.105726872246697
127,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab WT 2WD 3.7L,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
181,140,206,Four-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab WT 4WD 3.7L,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,4,Automatic,20,Gasoline,26,2011 Subaru Impreza Hatchback Outback Sport AT,Subaru,2011 Subaru Impreza Hatchback,2011,170,170,Subaru Impreza Hatchback,7.048458149779735,9.162995594713657
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,5,Manual,20,Gasoline,27,2011 Subaru Impreza Hatchback Outback Sport,Subaru,2011 Subaru Impreza Hatchback,2011,170,170,Subaru Impreza Hatchback,7.048458149779735,9.515418502202644
195,62,3,All-wheel drive,Subaru 2.5L 4 cylinder 305 hp 290 ft-lbs Turbo,6,Manual,17,Gasoline,23,2011 Subaru Impreza Hatchback WRX STI,Subaru,2011 Subaru Impreza WRX Hatchback,2011,305,290,Subaru Impreza WRX Hatchback,5.991189427312776,8.105726872246697
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,5,Manual,20,Gasoline,27,2011 Subaru Impreza Hatchback 2.5i,Subaru,2011 Subaru Impreza Hatchback,2011,170,170,Subaru Impreza Hatchback,7.048458149779735,9.515418502202644
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,4,Automatic,20,Gasoline,26,2011 Subaru Impreza Hatchback 2.5i AT,Subaru,2011 Subaru Impreza Hatchback,2011,170,170,Subaru Impreza Hatchback,7.048458149779735,9.162995594713657
195,62,3,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,5,Manual,19,Gasoline,25,2011 Subaru Impreza WRX Hatchback,Subaru,2011 Subaru Impreza WRX Hatchback,2011,265,244,Subaru Impreza WRX Hatchback,6.696035242290749,8.810572687224669
127,140,181,Rear-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,25,2010 GMC Canyon Extended Cab SLE 2WD,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,6.343612334801763,8.810572687224669
127,140,181,Rear-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,18,Gasoline,25,2010 GMC Canyon Extended Cab SLE 2WD AT,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,6.343612334801763,8.810572687224669
181,140,206,Four-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,5,Manual,18,Gasoline,24,2010 GMC Canyon Extended Cab SLE 4WD,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,6.343612334801763,8.458149779735685
181,140,206,Four-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab SLE 4WD AT,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,5.991189427312776,8.105726872246697
127,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab SLE 2WD 3.7L,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
127,140,181,Rear-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,15,Gasoline,20,2010 GMC Canyon Extended Cab SLE 2WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,5.286343612334802,7.048458149779735
181,140,206,Four-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab SLE 4WD  3.7L,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
181,140,206,Four-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,14,Gasoline,19,2010 GMC Canyon Extended Cab SLE 4WD  V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,4.933920704845815,6.696035242290749
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 224 hp 226 ft-lbs Turbo,4,Automatic,19,Gasoline,24,2010 Subaru Impreza Hatchback 2.5GT,Subaru,2010 Subaru Impreza Hatchback,2010,224,226,Subaru Impreza Hatchback,6.696035242290749,8.458149779735685
200,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,4,Automatic,20,Gasoline,26,2010 Subaru Impreza Hatchback Outback Sport AT,Subaru,2010 Subaru Impreza Hatchback,2010,170,170,Subaru Impreza Hatchback,7.048458149779735,9.162995594713657
195,62,3,All-wheel drive,Subaru 2.5L 4 cylinder 305 hp 290 ft-lbs Turbo,6,Manual,17,Gasoline,23,2010 Subaru Impreza WRX STI Hatchback,Subaru,2010 Subaru Impreza WRX Hatchback,2010,305,290,Subaru Impreza WRX Hatchback,5.991189427312776,8.105726872246697
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,4,Automatic,20,Gasoline,26,2010 Subaru Impreza Hatchback 2.5i AT,Subaru,2010 Subaru Impreza Hatchback,2010,170,170,Subaru Impreza Hatchback,7.048458149779735,9.162995594713657
200,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,5,Manual,20,Gasoline,27,2010 Subaru Impreza Hatchback Outback Sport,Subaru,2010 Subaru Impreza Hatchback,2010,170,170,Subaru Impreza Hatchback,7.048458149779735,9.515418502202644
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 170 hp 170 ft-lbs,5,Manual,20,Gasoline,27,2010 Subaru Impreza Hatchback 2.5i,Subaru,2010 Subaru Impreza Hatchback,2010,170,170,Subaru Impreza Hatchback,7.048458149779735,9.515418502202644
195,62,3,All-wheel drive,Subaru 2.5L 4 cylinder 305 hp 290 ft-lbs Turbo,6,Manual,17,Gasoline,23,2010 Subaru Impreza WRX STI Special Edition Hatchback,Subaru,2010 Subaru Impreza WRX Hatchback,2010,305,290,Subaru Impreza WRX Hatchback,5.991189427312776,8.105726872246697
195,62,203,All-wheel drive,Subaru 2.5L 4 cylinder 265 hp 244 ft-lbs Turbo,5,Manual,18,Gasoline,25,2010 Subaru Impreza WRX Hatchback,Subaru,2010 Subaru Impreza WRX Hatchback,2010,265,244,Subaru Impreza WRX Hatchback,6.343612334801763,8.810572687224669
127,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab SLT 2WD,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
181,140,206,Four-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Extended Cab SLT 4WD,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
127,140,181,Rear-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,15,Gasoline,20,2010 GMC Canyon Extended Cab SLT 2WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,5.286343612334802,7.048458149779735
181,140,206,Four-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,14,Gasoline,19,2010 GMC Canyon Extended Cab SLT 4WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,4.933920704845815,6.696035242290749
120,140,181,Rear-wheel drive,GMC 2.9L 4 Cylinder 185 hp 190 ft-lbs,4,Automatic,18,Gasoline,25,2010 GMC Canyon Crew Cab SLE 2WD,GMC,2010 GMC Canyon,2010,185,190,GMC Canyon,6.343612334801763,8.810572687224669
120,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Crew Cab SLE 2WD 3.7L,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
120,140,181,Rear-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,15,Gasoline,20,2010 GMC Canyon Crew Cab SLE 2WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,5.286343612334802,7.048458149779735
188,140,206,Four-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,16,Gasoline,21,2010 GMC Canyon Crew Cab SLE 4WD,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.638766519823789,7.400881057268723
188,140,206,Four-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,14,Gasoline,19,2010 GMC Canyon Crew Cab SLE 4WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,4.933920704845815,6.696035242290749
120,140,181,Rear-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,17,Gasoline,23,2010 GMC Canyon Crew Cab SLT 2WD,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.991189427312776,8.105726872246697
188,140,206,Four-wheel drive,GMC 3.7L 5 Cylinder 242 hp 242 ft-lbs,4,Automatic,16,Gasoline,21,2010 GMC Canyon Crew Cab SLT 4WD,GMC,2010 GMC Canyon,2010,242,242,GMC Canyon,5.638766519823789,7.400881057268723
120,140,181,Rear-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,15,Gasoline,20,2010 GMC Canyon Crew Cab SLT 2WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,5.286343612334802,7.048458149779735
188,140,206,Four-wheel drive,GMC 5.3L 8 Cylinder 300 hp 320 ft-lbs,4,Automatic,14,Gasoline,19,2010 GMC Canyon Crew Cab SLT 4WD V8,GMC,2010 GMC Canyon,2010,300,320,GMC Canyon,4.933920704845815,6.696035242290749
102,188,224,Rear-wheel drive,Dodge 3.7L 6 Cylinder 215 hp 235 ft-lbs,4,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 ST Regular Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,215,235,Dodge Ram 1500,4.933920704845815,7.048458149779735
102,188,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,13,2011 Dodge Ram 1500 ST Regular Cab 310 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.581497797356828
102,188,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 ST Regular Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
118,188,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,13,Gasoline,18,2011 Dodge Ram 1500 ST Regular Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.581497797356828,6.343612334801763
118,188,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 ST Regular Cab 390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
102,188,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,14,Gasoline,19,2011 Dodge Ram 1500 SLT Regular Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.933920704845815,6.696035242290749
118,188,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,13,Gasoline,18,2011 Dodge Ram 1500 SLT Regular Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.581497797356828,6.343612334801763
102,188,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 Sport Regular Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
118,188,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Sport Regular Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 3.7L 6 Cylinder 215 hp 235 ft-lbs,4,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 ST Quad Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,215,235,Dodge Ram 1500,4.933920704845815,7.048458149779735
115,184,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,13,2011 Dodge Ram 1500 ST Quad Cab 310 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.581497797356828
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 ST Quad Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,13,Gasoline,18,2011 Dodge Ram 1500 ST Quad Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.581497797356828,6.343612334801763
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 ST Quad Cab 390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,14,Gasoline,19,2011 Dodge Ram 1500 SLT Quad Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.933920704845815,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 SLT Quad Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,12,2011 Dodge Ram 1500 SLT Quad Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.229074889867842
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 SLT Quad Cab 390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 Sport Quad Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Sport Quad Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
102,188,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,13,2011 Dodge Ram 1500 SLT Regular Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.581497797356828
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Laramie Quad Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,14,Gasoline,19,2011 Dodge Ram 1500 ST Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.933920704845815,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 ST Crew Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,12,2011 Dodge Ram 1500 ST Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.229074889867842
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 ST Crew Cab  390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,14,Gasoline,19,2011 Dodge Ram 1500 SLT Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,4.933920704845815,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 SLT Crew Cab  390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 4.7L 8 Cylinder 310 hp 330 ft-lbs FFV,5,Automatic,9,E85,12,2011 Dodge Ram 1500 SLT Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,310,330,Dodge Ram 1500,3.1718061674008813,4.229074889867842
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 SLT Crew Cab  390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 Sport Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Sport Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 Laramie Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
130,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Laramie Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
115,184,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 Laramie Longhorn Crew Cab 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
115,184,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 Laramie Longhorn Crew Cab 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
77,102,240,Rear-wheel drive,GMC 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,15,Gasoline,20,2011 GMC Sierra 1500 WT 2WD,GMC,2011 GMC Sierra 1500,2011,195,260,GMC Sierra 1500,5.286343612334802,7.048458149779735
77,102,240,Rear-wheel drive,GMC 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,14,Gasoline,19,2011 GMC Sierra 1500 WT 2WD 4.8L,GMC,2011 GMC Sierra 1500,2011,302,305,GMC Sierra 1500,4.933920704845815,6.696035242290749
77,102,240,Rear-wheel drive,GMC 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 GMC Sierra 1500 WT 2WD 5.3L,GMC,2011 GMC Sierra 1500,2011,315,335,GMC Sierra 1500,3.876651982378855,5.638766519823789
82,102,240,Four-wheel drive,GMC 4.3L 6 Cylinder 195 hp 260 ft-lbs,4,Automatic,14,Gasoline,18,2011 GMC Sierra 1500 WT 4WD,GMC,2011 GMC Sierra 1500,2011,195,260,GMC Sierra 1500,4.933920704845815,6.343612334801763
82,102,240,Four-wheel drive,GMC 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,10,E85,13,2011 GMC Sierra 1500 WT 4WD 4.8L,GMC,2011 GMC Sierra 1500,2011,302,305,GMC Sierra 1500,3.5242290748898677,4.581497797356828
82,102,240,Four-wheel drive,GMC 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 GMC Sierra 1500 WT 4WD 5.3L,GMC,2011 GMC Sierra 1500,2011,315,335,GMC Sierra 1500,3.876651982378855,5.638766519823789
77,102,240,Rear-wheel drive,GMC 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,14,Gasoline,19,2011 GMC Sierra 1500 SLE 2WD,GMC,2011 GMC Sierra 1500,2011,302,305,GMC Sierra 1500,4.933920704845815,6.696035242290749
77,102,240,Rear-wheel drive,GMC 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 GMC Sierra 1500 SLE 2WD 5.3L,GMC,2011 GMC Sierra 1500,2011,315,335,GMC Sierra 1500,3.876651982378855,5.638766519823789
82,102,240,Four-wheel drive,GMC 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,4,Automatic,13,Gasoline,18,2011 GMC Sierra 1500 SLE 4WD,GMC,2011 GMC Sierra 1500,2011,302,305,GMC Sierra 1500,4.581497797356828,6.343612334801763
82,102,240,Four-wheel drive,GMC 5.3L 8 Cylinder 315 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 GMC Sierra 1500 SLE 4WD 5.3L,GMC,2011 GMC Sierra 1500,2011,315,335,GMC Sierra 1500,3.876651982378855,5.638766519823789
102,188,224,Rear-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,14,Gasoline,20,2011 Dodge Ram 1500 SLT Regular Cab 390 hp 4x2,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.933920704845815,7.048458149779735
118,188,224,Four-wheel drive,Dodge 5.7L 8 Cylinder 390 hp 407 ft-lbs,5,Automatic,13,Gasoline,19,2011 Dodge Ram 1500 SLT Regular Cab 390 hp 4x4,Dodge,2011 Dodge Ram 1500,2011,390,407,Dodge Ram 1500,4.581497797356828,6.696035242290749
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2011 Chevrolet Tahoe LS,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
161,10,214,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 Chevrolet Tahoe LS 4WD,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,3.876651982378855,5.638766519823789
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 Chevrolet Tahoe LT,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,3.876651982378855,5.638766519823789
161,10,214,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,11,E85,16,2011 Chevrolet Tahoe LT 4WD,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,3.876651982378855,5.638766519823789
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2011 Chevrolet Tahoe LTZ,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
161,10,214,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2011 Chevrolet Tahoe LTZ 4WD,Chevrolet,2011 Chevrolet Tahoe,2011,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
153,15,191,All-wheel drive,BMW 4.4L 8 cylinder 400 hp 450 ft-lbs Turbo,6,Automatic,13,Gasoline,18,2010 BMW X6 xDrive50i,BMW,2010 BMW X6,2010,400,450,BMW X6,4.581497797356828,6.343612334801763
153,15,191,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6,Automatic,15,Gasoline,21,2010 BMW X6 xDrive35i,BMW,2010 BMW X6,2010,300,300,BMW X6,5.286343612334802,7.400881057268723
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2010 Chevrolet Tahoe LS,Chevrolet,2010 Chevrolet Tahoe,2010,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
161,10,214,Four-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2010 Chevrolet Tahoe LS 4WD,Chevrolet,2010 Chevrolet Tahoe,2010,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
161,10,214,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 320 hp 335 ft-lbs FFV,6,Automatic,15,Gasoline,21,2010 Chevrolet Tahoe LT,Chevrolet,2010 Chevrolet Tahoe,2010,320,335,Chevrolet Tahoe,5.286343612334802,7.400881057268723
